Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,066062,2017,01,01,26.6,1,Y
IDCJAC0010,066062,2017,01,02,26.3,1,Y
IDCJAC0010,066062,2017,01,03,26.6,1,Y
IDCJAC0010,066062,2017,01,04,25.9,1,Y
IDCJAC0010,066062,2017,01,05,24.3,1,Y
IDCJAC0010,066062,2017,01,06,26.5,1,Y
IDCJAC0010,066062,2017,01,07,26.8,1,Y
IDCJAC0010,066062,2017,01,08,28.5,1,Y
IDCJAC0010,066062,2017,01,09,29.9,1,Y
IDCJAC0010,066062,2017,01,10,31.3,1,Y
IDCJAC0010,066062,2017,01,11,37.7,1,Y
IDCJAC0010,066062,2017,01,12,28.4,1,Y
IDCJAC0010,066062,2017,01,13,30.5,1,Y
IDCJAC0010,066062,2017,01,14,32.5,1,Y
IDCJAC0010,066062,2017,01,15,27.0,1,Y
IDCJAC0010,066062,2017,01,16,27.2,1,Y
IDCJAC0010,066062,2017,01,17,36.6,1,Y
IDCJAC0010,066062,2017,01,18,38.1,1,Y
IDCJAC0010,066062,2017,01,19,24.5,1,Y
IDCJAC0010,066062,2017,01,20,29.2,1,Y
IDCJAC0010,066062,2017,01,21,27.4,1,Y
IDCJAC0010,066062,2017,01,22,26.5,1,Y
IDCJAC0010,066062,2017,01,23,32.6,1,Y
IDCJAC0010,066062,2017,01,24,37.0,1,Y
IDCJAC0010,066062,2017,01,25,24.3,1,Y
IDCJAC0010,066062,2017,01,26,25.5,1,Y
IDCJAC0010,066062,2017,01,27,27.1,1,Y
IDCJAC0010,066062,2017,01,28,29.7,1,Y
IDCJAC0010,066062,2017,01,29,30.2,1,Y
IDCJAC0010,066062,2017,01,30,34.3,1,Y
IDCJAC0010,066062,2017,01,31,39.4,1,Y
IDCJAC0010,066062,2017,02,01,23.6,1,Y
IDCJAC0010,066062,2017,02,02,27.1,1,Y
IDCJAC0010,066062,2017,02,03,26.4,1,Y
IDCJAC0010,066062,2017,02,04,30.4,1,Y
IDCJAC0010,066062,2017,02,05,34.9,1,Y
IDCJAC0010,066062,2017,02,06,34.7,1,Y
IDCJAC0010,066062,2017,02,07,24.9,1,Y
IDCJAC0010,066062,2017,02,08,27.0,1,Y
IDCJAC0010,066062,2017,02,09,30.9,1,Y
IDCJAC0010,066062,2017,02,10,37.5,1,Y
IDCJAC0010,066062,2017,02,11,36.2,1,Y
IDCJAC0010,066062,2017,02,12,31.9,1,Y
IDCJAC0010,066062,2017,02,13,27.3,1,Y
IDCJAC0010,066062,2017,02,14,24.0,1,Y
IDCJAC0010,066062,2017,02,15,26.1,1,Y
IDCJAC0010,066062,2017,02,16,30.0,1,Y
IDCJAC0010,066062,2017,02,17,29.9,1,Y
IDCJAC0010,066062,2017,02,18,29.4,1,Y
IDCJAC0010,066062,2017,02,19,26.1,1,Y
IDCJAC0010,066062,2017,02,20,28.3,1,Y
IDCJAC0010,066062,2017,02,21,27.6,1,Y
IDCJAC0010,066062,2017,02,22,27.7,1,Y
IDCJAC0010,066062,2017,02,23,28.1,1,Y
IDCJAC0010,066062,2017,02,24,28.0,1,Y
IDCJAC0010,066062,2017,02,25,20.8,1,Y
IDCJAC0010,066062,2017,02,26,25.5,1,Y
IDCJAC0010,066062,2017,02,27,26.6,1,Y
IDCJAC0010,066062,2017,02,28,26.7,1,Y
IDCJAC0010,066062,2017,03,01,27.2,1,Y
IDCJAC0010,066062,2017,03,02,26.3,1,Y
IDCJAC0010,066062,2017,03,03,24.8,1,Y
IDCJAC0010,066062,2017,03,04,23.3,1,Y
IDCJAC0010,066062,2017,03,05,23.0,1,Y
IDCJAC0010,066062,2017,03,06,25.7,1,Y
IDCJAC0010,066062,2017,03,07,23.2,1,Y
IDCJAC0010,066062,2017,03,08,23.5,1,Y
IDCJAC0010,066062,2017,03,09,25.1,1,Y
IDCJAC0010,066062,2017,03,10,25.8,1,Y
IDCJAC0010,066062,2017,03,11,26.1,1,Y
IDCJAC0010,066062,2017,03,12,26.4,1,Y
IDCJAC0010,066062,2017,03,13,27.4,1,Y
IDCJAC0010,066062,2017,03,14,25.9,1,Y
IDCJAC0010,066062,2017,03,15,25.9,1,Y
IDCJAC0010,066062,2017,03,16,24.9,1,Y
IDCJAC0010,066062,2017,03,17,22.7,1,Y
IDCJAC0010,066062,2017,03,18,25.8,1,Y
IDCJAC0010,066062,2017,03,19,26.2,1,Y
IDCJAC0010,066062,2017,03,20,27.9,1,Y
IDCJAC0010,066062,2017,03,21,27.1,1,Y
IDCJAC0010,066062,2017,03,22,31.9,1,Y
IDCJAC0010,066062,2017,03,23,23.3,1,Y
IDCJAC0010,066062,2017,03,24,24.1,1,Y
IDCJAC0010,066062,2017,03,25,24.5,1,Y
IDCJAC0010,066062,2017,03,26,26.5,1,Y
IDCJAC0010,066062,2017,03,27,27.0,1,Y
IDCJAC0010,066062,2017,03,28,23.8,1,Y
IDCJAC0010,066062,2017,03,29,28.8,1,Y
IDCJAC0010,066062,2017,03,30,26.0,1,Y
IDCJAC0010,066062,2017,03,31,22.6,1,Y
IDCJAC0010,066062,2017,04,01,25.6,1,Y
IDCJAC0010,066062,2017,04,02,22.0,1,Y
IDCJAC0010,066062,2017,04,03,22.0,1,Y
IDCJAC0010,066062,2017,04,04,22.8,1,Y
IDCJAC0010,066062,2017,04,05,23.3,1,Y
IDCJAC0010,066062,2017,04,06,23.4,1,Y
IDCJAC0010,066062,2017,04,07,23.8,1,Y
IDCJAC0010,066062,2017,04,08,24.9,1,Y
IDCJAC0010,066062,2017,04,09,28.7,1,Y
IDCJAC0010,066062,2017,04,10,17.9,1,Y
IDCJAC0010,066062,2017,04,11,23.0,1,Y
IDCJAC0010,066062,2017,04,12,22.7,1,Y
IDCJAC0010,066062,2017,04,13,23.6,1,Y
IDCJAC0010,066062,2017,04,14,24.7,1,Y
IDCJAC0010,066062,2017,04,15,23.8,1,Y
IDCJAC0010,066062,2017,04,16,26.9,1,Y
IDCJAC0010,066062,2017,04,17,24.1,1,Y
IDCJAC0010,066062,2017,04,18,24.3,1,Y
IDCJAC0010,066062,2017,04,19,24.9,1,Y
IDCJAC0010,066062,2017,04,20,24.0,1,Y
IDCJAC0010,066062,2017,04,21,23.9,1,Y
IDCJAC0010,066062,2017,04,22,24.1,1,Y
IDCJAC0010,066062,2017,04,23,26.7,1,Y
IDCJAC0010,066062,2017,04,24,23.9,1,Y
IDCJAC0010,066062,2017,04,25,26.7,1,Y
IDCJAC0010,066062,2017,04,26,24.8,1,Y
IDCJAC0010,066062,2017,04,27,20.0,1,Y
IDCJAC0010,066062,2017,04,28,21.8,1,Y
