Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,066062,2018,04,12,0.0,1,N
IDCJAC0009,066062,2018,04,13,0.0,1,N
IDCJAC0009,066062,2018,04,14,0.0,1,N
IDCJAC0009,066062,2018,04,15,0.0,1,N
IDCJAC0009,066062,2018,04,16,0.0,1,N
IDCJAC0009,066062,2018,04,17,0.0,1,N
IDCJAC0009,066062,2018,04,18,0.0,1,N
IDCJAC0009,066062,2018,04,19,0.0,1,N
IDCJAC0009,066062,2018,04,20,0.0,1,N
IDCJAC0009,066062,2018,04,21,0.0,1,N
IDCJAC0009,066062,2018,04,22,0.0,1,N
IDCJAC0009,066062,2018,04,23,0.0,1,N
IDCJAC0009,066062,2018,04,24,0.0,1,N
IDCJAC0009,066062,2018,04,25,0.0,1,N
IDCJAC0009,066062,2018,04,26,0.2,1,N
IDCJAC0009,066062,2018,04,27,1.4,1,N
IDCJAC0009,066062,2018,04,28,9.2,1,N
IDCJAC0009,066062,2018,04,29,2.6,1,N
IDCJAC0009,066062,2018,04,30,9.8,1,N
IDCJAC0009,066062,2018,05,01,0.2,1,N
IDCJAC0009,066062,2018,05,02,0.0,1,N
IDCJAC0009,066062,2018,05,03,0.0,1,N
IDCJAC0009,066062,2018,05,04,0.0,1,N
IDCJAC0009,066062,2018,05,05,0.0,1,N
IDCJAC0009,066062,2018,05,06,0.0,1,N
IDCJAC0009,066062,2018,05,07,0.0,1,N
IDCJAC0009,066062,2018,05,08,0.0,1,N
IDCJAC0009,066062,2018,05,09,0.0,1,N
IDCJAC0009,066062,2018,05,10,0.0,1,N
IDCJAC0009,066062,2018,05,11,0.0,1,N
IDCJAC0009,066062,2018,05,12,3.6,1,N
IDCJAC0009,066062,2018,05,13,0.8,1,N
IDCJAC0009,066062,2018,05,14,13.4,1,N
IDCJAC0009,066062,2018,05,15,0.2,1,N
IDCJAC0009,066062,2018,05,16,0.0,1,N
IDCJAC0009,066062,2018,05,17,0.0,1,N
IDCJAC0009,066062,2018,05,18,0.0,1,N
IDCJAC0009,066062,2018,05,19,0.0,1,N
IDCJAC0009,066062,2018,05,20,0.0,1,N
IDCJAC0009,066062,2018,05,21,0.0,1,N
IDCJAC0009,066062,2018,05,22,0.0,1,N
IDCJAC0009,066062,2018,05,23,0.0,1,N
IDCJAC0009,066062,2018,05,24,0.0,1,N
IDCJAC0009,066062,2018,05,25,0.0,1,N
IDCJAC0009,066062,2018,05,26,0.0,1,N
IDCJAC0009,066062,2018,05,27,0.0,1,N
IDCJAC0009,066062,2018,05,28,0.0,1,N
IDCJAC0009,066062,2018,05,29,0.0,1,N
IDCJAC0009,066062,2018,05,30,3.4,1,N
IDCJAC0009,066062,2018,05,31,1.6,1,N
IDCJAC0009,066062,2018,06,01,0.0,1,N
IDCJAC0009,066062,2018,06,02,0.4,1,N
IDCJAC0009,066062,2018,06,03,0.4,1,N
IDCJAC0009,066062,2018,06,04,3.6,1,N
IDCJAC0009,066062,2018,06,05,2.8,1,N
IDCJAC0009,066062,2018,06,06,32.6,1,N
IDCJAC0009,066062,2018,06,07,16.6,1,N
IDCJAC0009,066062,2018,06,08,0.0,1,N
IDCJAC0009,066062,2018,06,09,6.8,1,N
IDCJAC0009,066062,2018,06,10,4.0,1,N
IDCJAC0009,066062,2018,06,11,11.4,1,N
IDCJAC0009,066062,2018,06,12,0.0,1,N
IDCJAC0009,066062,2018,06,13,0.0,1,N
IDCJAC0009,066062,2018,06,14,0.0,1,N
IDCJAC0009,066062,2018,06,15,0.2,1,N
IDCJAC0009,066062,2018,06,16,0.0,1,N
IDCJAC0009,066062,2018,06,17,0.0,1,N
IDCJAC0009,066062,2018,06,18,0.2,1,N
IDCJAC0009,066062,2018,06,19,15.0,1,N
IDCJAC0009,066062,2018,06,20,43.0,1,N
IDCJAC0009,066062,2018,06,21,6.0,1,N
IDCJAC0009,066062,2018,06,22,0.2,1,N
IDCJAC0009,066062,2018,06,23,0.2,1,N
IDCJAC0009,066062,2018,06,24,,,
IDCJAC0009,066062,2018,06,25,0.0,1,N
IDCJAC0009,066062,2018,06,26,0.0,1,N
IDCJAC0009,066062,2018,06,27,1.0,1,N
IDCJAC0009,066062,2018,06,28,22.4,1,N
IDCJAC0009,066062,2018,06,29,8.8,1,N
IDCJAC0009,066062,2018,06,30,0.0,1,N
IDCJAC0009,066062,2018,07,01,0.0,1,N
IDCJAC0009,066062,2018,07,02,0.0,1,N
IDCJAC0009,066062,2018,07,03,9.8,1,N
IDCJAC0009,066062,2018,07,04,0.0,1,N
IDCJAC0009,066062,2018,07,05,0.0,1,N
IDCJAC0009,066062,2018,07,06,0.0,1,N
IDCJAC0009,066062,2018,07,07,0.0,1,N
IDCJAC0009,066062,2018,07,08,0.0,1,N
IDCJAC0009,066062,2018,07,09,0.0,1,N
IDCJAC0009,066062,2018,07,10,0.0,1,N
IDCJAC0009,066062,2018,07,11,0.0,1,N
IDCJAC0009,066062,2018,07,12,0.0,1,N
IDCJAC0009,066062,2018,07,13,0.0,1,N
IDCJAC0009,066062,2018,07,14,0.0,1,N
IDCJAC0009,066062,2018,07,15,0.0,1,N
IDCJAC0009,066062,2018,07,16,0.0,1,N
IDCJAC0009,066062,2018,07,17,0.0,1,N
IDCJAC0009,066062,2018,07,18,0.0,1,N
IDCJAC0009,066062,2018,07,19,0.0,1,N
IDCJAC0009,066062,2018,07,20,0.0,1,N
IDCJAC0009,066062,2018,07,21,0.0,1,N
IDCJAC0009,066062,2018,07,22,0.0,1,N
IDCJAC0009,066062,2018,07,23,0.0,1,N
IDCJAC0009,066062,2018,07,24,0.0,1,N
IDCJAC0009,066062,2018,07,25,0.0,1,N
IDCJAC0009,066062,2018,07,26,0.0,1,N
IDCJAC0009,066062,2018,07,27,0.0,1,N
IDCJAC0009,066062,2018,07,28,0.0,1,N
IDCJAC0009,066062,2018,07,29,1.4,1,N
IDCJAC0009,066062,2018,07,30,0.0,1,N
IDCJAC0009,066062,2018,07,31,0.0,1,N
IDCJAC0009,066062,2018,08,01,0.0,1,N
IDCJAC0009,066062,2018,08,02,0.0,1,N
IDCJAC0009,066062,2018,08,03,0.0,1,N
IDCJAC0009,066062,2018,08,04,0.0,1,N
IDCJAC0009,066062,2018,08,05,0.0,1,N
IDCJAC0009,066062,2018,08,06,0.0,1,N
IDCJAC0009,066062,2018,08,07,1.4,1,N
IDCJAC0009,066062,2018,08,08,0.0,1,N
IDCJAC0009,066062,2018,08,09,0.0,1,N
IDCJAC0009,066062,2018,08,10,0.0,1,N
