Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,066062,2018,04,08,26.2,1,Y
IDCJAC0010,066062,2018,04,09,35.4,1,Y
IDCJAC0010,066062,2018,04,10,24.0,1,Y
IDCJAC0010,066062,2018,04,11,26.5,1,Y
IDCJAC0010,066062,2018,04,12,34.6,1,Y
IDCJAC0010,066062,2018,04,13,32.6,1,Y
IDCJAC0010,066062,2018,04,14,30.5,1,Y
IDCJAC0010,066062,2018,04,15,24.5,1,Y
IDCJAC0010,066062,2018,04,16,29.9,1,Y
IDCJAC0010,066062,2018,04,17,22.9,1,Y
IDCJAC0010,066062,2018,04,18,22.2,1,Y
IDCJAC0010,066062,2018,04,19,24.2,1,Y
IDCJAC0010,066062,2018,04,20,25.7,1,Y
IDCJAC0010,066062,2018,04,21,23.8,1,Y
IDCJAC0010,066062,2018,04,22,24.7,1,Y
IDCJAC0010,066062,2018,04,23,23.9,1,Y
IDCJAC0010,066062,2018,04,24,25.1,1,Y
IDCJAC0010,066062,2018,04,25,25.2,1,Y
IDCJAC0010,066062,2018,04,26,24.1,1,Y
IDCJAC0010,066062,2018,04,27,21.7,1,Y
IDCJAC0010,066062,2018,04,28,20.3,1,Y
IDCJAC0010,066062,2018,04,29,22.7,1,Y
IDCJAC0010,066062,2018,04,30,20.8,1,Y
IDCJAC0010,066062,2018,05,01,25.1,1,Y
IDCJAC0010,066062,2018,05,02,23.3,1,Y
IDCJAC0010,066062,2018,05,03,25.7,1,Y
IDCJAC0010,066062,2018,05,04,26.8,1,Y
IDCJAC0010,066062,2018,05,05,22.9,1,Y
IDCJAC0010,066062,2018,05,06,22.5,1,Y
IDCJAC0010,066062,2018,05,07,25.7,1,Y
IDCJAC0010,066062,2018,05,08,26.3,1,Y
IDCJAC0010,066062,2018,05,09,25.3,1,Y
IDCJAC0010,066062,2018,05,10,25.9,1,Y
IDCJAC0010,066062,2018,05,11,16.5,1,Y
IDCJAC0010,066062,2018,05,12,16.8,1,Y
IDCJAC0010,066062,2018,05,13,18.0,1,Y
IDCJAC0010,066062,2018,05,14,19.8,1,Y
IDCJAC0010,066062,2018,05,15,20.6,1,Y
IDCJAC0010,066062,2018,05,16,19.2,1,Y
IDCJAC0010,066062,2018,05,17,19.9,1,Y
IDCJAC0010,066062,2018,05,18,21.4,1,Y
IDCJAC0010,066062,2018,05,19,20.1,1,Y
IDCJAC0010,066062,2018,05,20,21.9,1,Y
IDCJAC0010,066062,2018,05,21,22.2,1,Y
IDCJAC0010,066062,2018,05,22,24.6,1,Y
IDCJAC0010,066062,2018,05,23,20.9,1,Y
IDCJAC0010,066062,2018,05,24,19.5,1,Y
IDCJAC0010,066062,2018,05,25,19.3,1,Y
IDCJAC0010,066062,2018,05,26,20.1,1,Y
IDCJAC0010,066062,2018,05,27,20.7,1,Y
IDCJAC0010,066062,2018,05,28,21.1,1,Y
IDCJAC0010,066062,2018,05,29,25.6,1,Y
IDCJAC0010,066062,2018,05,30,17.7,1,Y
IDCJAC0010,066062,2018,05,31,18.2,1,Y
IDCJAC0010,066062,2018,06,01,16.4,1,Y
IDCJAC0010,066062,2018,06,02,16.0,1,Y
IDCJAC0010,066062,2018,06,03,19.4,1,Y
IDCJAC0010,066062,2018,06,04,18.9,1,Y
IDCJAC0010,066062,2018,06,05,15.1,1,Y
IDCJAC0010,066062,2018,06,06,16.8,1,Y
